TEAM SEASON,WIN%,PTS,FG%,FT%,PERSONAL FOULS +/-
2018-19 Atlanta Hawks,0.354,113.3,45.1,75.2,-6.0
2018-19 Boston Celtics,0.598,112.4,46.5,80.2,4.4
2018-19 Brooklyn Nets,0.512,112.2,44.9,74.5,-0.1
2018-19 Charlotte Hornets,0.476,110.7,44.8,79.7,-1.1
2018-19 Chicago Bulls,0.268,104.9,45.3,78.3,-8.4
2018-19 Cleveland Cavaliers,0.232,104.5,44.4,79.2,-9.6
2018-19 Dallas Mavericks,0.402,108.9,44.7,74.2,-1.3
2018-19 Denver Nuggets,0.659,110.7,46.6,75.5,4.0
2018-19 Detroit Pistons,0.5,107.0,44.0,74.7,-0.2
2018-19 Golden State Warriors,0.695,117.7,49.1,80.1,6.5
2018-19 Houston Rockets,0.6459999999999999,113.9,44.9,79.1,4.8
2018-19 Indiana Pacers,0.585,108.0,47.5,75.2,3.3
2018-19 LA Clippers,0.585,115.1,47.1,79.2,0.9
2018-19 Los Angeles Lakers,0.451,111.8,47.0,69.9,-1.7
2018-19 Memphis Grizzlies,0.402,103.5,45.0,77.2,-2.6
2018-19 Miami Heat,0.476,105.7,45.0,69.5,-0.2
2018-19 Milwaukee Bucks,0.732,118.1,47.6,77.3,8.9
2018-19 Minnesota Timberwolves,0.439,112.5,45.6,78.7,-1.5
2018-19 New Orleans Pelicans,0.402,115.4,47.3,76.1,-1.3
2018-19 New York Knicks,0.207,104.6,43.3,75.9,-9.2
2018-19 Oklahoma City Thunder,0.598,114.5,45.4,71.3,3.4
2018-19 Orlando Magic,0.512,107.3,45.4,78.2,0.7
2018-19 Philadelphia 76ers,0.622,115.2,47.1,77.1,2.7
2018-19 Phoenix Suns,0.232,107.5,45.9,77.9,-9.3
2018-19 Portland Trail Blazers,0.6459999999999999,114.7,46.7,81.4,4.2
2018-19 Sacramento Kings,0.476,114.2,46.4,72.6,-1.1
2018-19 San Antonio Spurs,0.585,111.7,47.8,81.9,1.7
2018-19 Toronto Raptors,0.7070000000000001,114.4,47.4,80.4,6.1
2018-19 Utah Jazz,0.61,111.7,46.8,73.6,5.3
2018-19 Washington Wizards,0.39,114.0,46.8,76.8,-2.9
2017-18 Atlanta Hawks,0.293,103.4,44.6,78.5,-5.5
2017-18 Boston Celtics,0.6709999999999999,104.0,45.0,77.1,3.6
2017-18 Brooklyn Nets,0.341,106.6,44.1,77.2,-3.7
2017-18 Charlotte Hornets,0.439,108.2,45.0,74.7,0.3
2017-18 Chicago Bulls,0.329,102.9,43.5,75.9,-7.0
2017-18 Cleveland Cavaliers,0.61,110.9,47.6,77.9,0.9
2017-18 Dallas Mavericks,0.293,102.3,44.4,76.3,-3.0
2017-18 Denver Nuggets,0.561,110.0,47.0,76.7,1.5
2017-18 Detroit Pistons,0.476,103.8,45.0,74.5,-0.1
2017-18 Golden State Warriors,0.7070000000000001,113.5,50.3,81.5,6.0
2017-18 Houston Rockets,0.7929999999999999,112.4,46.0,78.1,8.5
2017-18 Indiana Pacers,0.585,105.6,47.2,77.9,1.4
2017-18 LA Clippers,0.512,109.0,47.1,74.3,0.0
2017-18 Los Angeles Lakers,0.4270000000000001,108.1,46.1,71.4,-1.5
2017-18 Memphis Grizzlies,0.268,99.3,44.4,78.6,-6.2
2017-18 Miami Heat,0.537,103.4,45.5,75.5,0.5
2017-18 Milwaukee Bucks,0.537,106.5,47.8,78.3,-0.3
2017-18 Minnesota Timberwolves,0.573,109.5,47.6,80.4,2.2
2017-18 New Orleans Pelicans,0.585,111.7,48.3,77.2,1.3
2017-18 New York Knicks,0.354,104.5,46.4,78.7,-3.6
2017-18 Oklahoma City Thunder,0.585,107.9,45.3,71.6,3.4
2017-18 Orlando Magic,0.305,103.4,45.2,75.7,-4.8
2017-18 Philadelphia 76ers,0.634,109.8,47.2,75.2,4.5
2017-18 Phoenix Suns,0.256,103.9,44.2,74.1,-9.4
2017-18 Portland Trail Blazers,0.598,105.6,45.2,80.0,2.6
2017-18 Sacramento Kings,0.329,98.8,45.0,73.5,-7.0
2017-18 San Antonio Spurs,0.573,102.7,45.7,77.2,2.9
2017-18 Toronto Raptors,0.72,111.7,47.2,79.4,7.8
2017-18 Utah Jazz,0.585,104.1,46.2,77.9,4.3
2017-18 Washington Wizards,0.524,106.6,46.7,77.2,0.6
